name,source,gender,wikidata,type
Afgańska,wikidata,,Q889,way
"Aleja Architektów",wikidata,,Q42973,way
"Aleja Armii Krajowej",wikidata,,Q152529,way
"Aleja Śląska",wikidata,,Q81720,way
Armeńska,wikidata,,Q399,way
"Babiego Lata",wikidata,,Q959282,way
Brochowska,wikidata,,Q20758138,way
Brązowa,wikidata,,Q34095,way
Buraczana,wikidata,,Q3761162,way
Burzowa,wikidata,,Q2857578,way
Bytomska,wikidata,,Q102350,way
Chorzowska,wikidata,,Q104302,way
Cieszyńska,wikidata,,Q321197,way
Cypryjska,wikidata,,Q229,way
Dekarska,wikidata,,Q552378,way
Drezynowa,wikidata,,Q209658,way
Filipińska,wikidata,,Q928,way
Filomatów,wikidata,,Q2088144,way
Fryzjerska,wikidata,,Q55187,way
Gajowa,wikidata,,Q9265297,way
Garwolińska,wikidata,,Q583896,way
Gliwicka,wikidata,,Q105084,way
Gogolińska,wikidata,,Q1001307,way
Górnośląska,wikidata,,Q81011,way
Grabiszyńska,wikidata,,Q9275212,way
Gradowa,wikidata,,Q37602,way
Grawerska,wikidata,,Q329439,way
Grodzieńska,wikidata,,Q181376,way
Grójecka,wikidata,,Q391461,way
Gruzińska,wikidata,,Q230,way
Hubska,wikidata,,Q9294650,way
Indonezyjska,wikidata,,Q252,way
Inflancka,wikidata,,Q183464,way
Iracka,wikidata,,Q796,way
Japońska,wikidata,,Q17,way
Jubilerska,wikidata,,Q336221,way
Jutrzenki,wikidata,,Q635954,way
Kabaczkowa,wikidata,,Q7533,way
Kaletnicza,wikidata,,Q16402902,way
Kamienna,wikidata,,Q22731,way
Kaszubska,wikidata,,Q147804,way
Katowicka,wikidata,,Q588,way
Kazachstańska,wikidata,,Q232,way
Kminkowa,wikidata,,Q26811,way
Kominiarska,wikidata,,Q506126,way
"Komuny Paryskiej",wikidata,,Q133132,way
Koreańska,wikidata,,Q18097,way
Kowieńska,wikidata,,Q4115712,way
Krakowska,wikidata,,Q31487,way
"Krystyny i Mariana Barskich",wikidata,,Q97185150,way
Księgarska,wikidata,,Q998550,way
Kurlandzka,wikidata,,Q185072,way
Laotańska,wikidata,,Q819,way
Libańska,wikidata,,Q822,way
Litewska,wikidata,,Q37,way
Lokomotywowa,wikidata,,Q93301,way
Malezyjska,wikidata,,Q833,way
Mandżurska,wikidata,,Q81126,way
Manganowa,wikidata,,Q731,way
Marchewkowa,wikidata,,Q27949,way
Maszynistów,wikidata,,Q2775569,way
Melisowa,wikidata,,Q148396,way
Mglista,wikidata,,Q37477,way
Miedziana,wikidata,,Q753,way
Mosiężna,wikidata,,Q39782,way
Nauczycielska,wikidata,,Q37226,way
Nowogródzka,wikidata,,Q278743,way
Ogórkowa,wikidata,,Q148758,way
Olsztyńska,wikidata,,Q82765,way
Opolska,wikidata,,Q92212,way
